channel_id,channel_name,subscriber_count,creator_tier,total_videos,shorts_count_sample,avg_views,median_views,std_views,max_views,avg_like_rate,avg_duration_sec,pct_vertical,pct_has_music,avg_title_length,avg_hook_count,avg_emoji_count,pct_has_hashtag,viral_video_rate,views_per_subscriber,consistency_score
UCVnG-v6mxUHOB0i5cMUKnng,Tru Cubing,493000,mid,30,30,12737.97,10000.0,8625.71,35000,0.0,0.0,0.0,0.0,95.53,0.2333,0.1667,1.0,0.0,0.0258,0.5962
UCl0MN4CALU7mJ1clo4Ulszg,Prabhat Exam,1200000,macro,30,30,20746.67,5700.0,55269.16,305000,0.0,0.0,0.0,0.0,49.7,0.3333,0.0,0.4333,0.0,0.0173,0.2729
UC90nWwAJLVZ2vm7LqPqXYjg,Prathmesh Cuber,41500,micro,30,30,3935.13,2300.0,5416.96,28000,0.0,0.0,0.0,0.0,90.03,2.1,1.6333,1.0,0.0,0.0948,0.4208
UCW2VnHgHh1V7zV5Ku0IzJfQ,SPORTS TIME,91800,micro,30,30,12006.67,9050.0,12459.13,60000,0.0,0.0,0.0,0.0,67.13,0.3667,0.9333,0.8333,0.0,0.1308,0.4908
UCv8_ooFUhRkhLTd3cOp7KgQ,Aawesh Facts,1370000,macro,30,30,291533.33,37500.0,977718.56,5200000,0.0,0.0,0.0,0.0,32.57,0.1667,1.1333,0.7667,0.0667,0.2128,0.2297
UCmwcRye_XwS_vU5FvZYFsAA,KungFu in Seconds,299000,mid,30,30,2728200.0,177000.0,5434708.1,21000000,0.0,0.0,0.0,0.0,64.6,0.6,2.2,1.0,0.3333,9.1244,0.3342
UC9vNnTzRfAJIdDYacLHFAHQ,CombateditYT,23000,micro,30,30,938.1,912.5,392.73,1700,0.0,0.0,0.0,0.0,76.77,1.9333,0.1,1.0,0.0,0.0408,0.7049
UCJ8HZ5hK8X8TjClqoDtROQA,@Rojgar Talks with Prince,65600,micro,7,7,13511142.86,12000000.0,15817115.06,49000000,0.0,0.0,0.0,0.0,98.43,1.0,2.1429,1.0,0.7143,205.9625,0.4607
UCpz7wQpqj8OdOclAchVKdcQ,Cube With PG,2920,nano,30,30,3158.73,2050.0,4317.13,23000,0.0,0.0,0.0,0.0,98.67,0.9667,0.4667,1.0,0.0,1.0818,0.4225
UC5pr0xIiFUnHIKqL-N_e9lg,MARCOS PHYSICAL ACADEMY,280000,mid,30,30,18496.67,14000.0,20238.83,121000,0.0,0.0,0.0,0.0,76.47,0.2667,1.2333,1.0,0.0,0.0661,0.4775
UC4gXdPrm00ef0b0Fn_9RW9w,Cuber Lucky ,295,nano,30,30,6176.83,2500.0,8437.61,34000,0.0,0.0,0.0,0.0,76.5,2.1333,0.6,1.0,0.0,20.9384,0.4227
UCTlgI-mzZNT20QtbYwP7OeQ,INDCuber,1100,nano,30,30,1622.67,1350.0,1037.89,5700,0.0,0.0,0.0,0.0,64.27,0.1667,0.6333,0.9667,0.0,1.4752,0.6099
UC41U4aAW_yeOgsNPlvgzTEA,Vivek of cube,379,nano,30,30,6083.33,2150.0,8098.48,27000,0.0,0.0,0.0,0.0,47.23,1.5,1.4667,0.9333,0.0,16.051,0.429
UCmSQvFLvcig5l057tbKQfRw,Mindvalley Coach,183000,mid,30,30,1230.77,881.5,933.65,4400,0.0,0.0,0.0,0.0,41.63,0.3333,0.0,0.0333,0.0,0.0067,0.5686
UCzE3a2CAJTGngdOVLVXPkZA,Mikhail Karpol,70400,micro,30,30,35516.67,26500.0,34280.63,176000,0.0,0.0,0.0,0.0,93.23,0.0,2.0,1.0,0.0,0.5045,0.5089
UC-VQ9ouft81tY25ibPqD-gQ,AD Football Training Videos,187000,mid,30,30,155433.33,59500.0,291918.22,1600000,0.0,0.0,0.0,0.0,81.57,0.0,0.0,1.0,0.0333,0.8312,0.3475
UC1xlH2lxd8slXChr474VKGQ,Iam.Seyshud,35,nano,30,30,4060.8,1950.0,6147.84,26000,0.0,0.0,0.0,0.0,71.1,0.3,0.1333,1.0,0.0,116.0229,0.3978
UCdTQpOkmUn1qvrlBsDlMQpA,Fighter,112000,mid,30,30,494366.67,70500.0,1297686.75,5600000,0.0,0.0,0.0,0.0,69.73,0.2333,0.0,1.0,0.1,4.414,0.2759
UCDMSJFPa3CH6YPNG8aTqjdA,Julie Degallaix - Coaching4U,402,nano,30,30,489.77,380.5,330.58,1400,0.0,0.0,0.0,0.0,96.97,0.4333,0.1,1.0,0.0,1.2183,0.597
UCYk7Ywt-7f_Pw8Lc5VNL61g,Jikeo,15300,micro,30,30,25056.67,15000.0,47152.25,252000,0.0,0.0,0.0,0.0,65.03,0.4,0.1333,1.0,0.0,1.6377,0.347
UC8dVW9u_aNeGVl1WQnNh6yg,Matt & Justus,5220000,macro,30,30,2944100.0,2400000.0,2298607.47,9900000,0.0,0.0,0.0,0.0,90.07,0.0,2.3333,1.0,0.7667,0.564,0.5616
UCeUzGTGP4yqmtU7SRT2uqIA,abbas royal 5,253000,mid,30,30,39620.0,15500.0,70487.38,335000,0.0,0.0,0.0,0.0,81.97,1.0333,2.5667,1.0,0.0,0.1566,0.3598
UCwNA5oRi6y6Go5K17LmvhsQ,PriyaMG Shorts,1760000,macro,30,30,919633.33,380000.0,1538269.8,7800000,0.0,0.0,0.0,0.0,39.87,0.1333,0.4,0.0333,0.2333,0.5225,0.3742
UCUUng8xxGwDuK09KaOT4-5A,Thane Rising Cricket Academy,173000,mid,30,30,10000.0,9250.0,5339.73,21000,0.0,0.0,0.0,0.0,52.57,0.1333,0.0667,0.9333,0.0,0.0578,0.6519
UCsNK9s494UBuJD9qElPPpqg,Tom Padel ,1640,nano,30,30,20546.67,6750.0,36258.44,165000,0.0,0.0,0.0,0.0,72.53,0.0667,0.1667,0.9667,0.0,12.5285,0.3617
UCAZb6V_lf6NPGBqWGoZmJJA,Dk badminton,154000,mid,30,30,29143.33,26000.0,14993.19,74000,0.0,0.0,0.0,0.0,37.57,0.1667,0.5,0.7,0.0,0.1892,0.6603
UCPEnMy6z6wI7saOYe3Oh8eQ,Mansa TV,347,nano,27,27,842.93,754.0,624.11,2400,0.0,0.0,0.0,0.0,84.19,0.5926,0.0,0.8889,0.0,2.4292,0.5746
UC3Ke5tmSyv91ceZUR67eORg,Jass Batth ,91000,micro,30,30,25230.0,28500.0,13776.7,63000,0.0,0.0,0.0,0.0,33.27,0.2,0.3,0.2,0.0,0.2773,0.6468
